CHAMP MIX DE CARNES X 22 KG	4211.39
PEDIGREE BISCROK MULTI 8 BLS X 100 GRS	1067.61
PEDIGREE BISCROK MULTI X 500 GRS	491.61
PEDIGREE DENTASTIX RAZAS MEDIANAS 10 BLS X 3 UDS	1619.46
PEDIGREE DENTASTIX RAZAS MEDIANAS 18 BLS X 1 UD	1118.40
PEDIGREE DENTASTIX RAZAS MEDIANAS 8 BLS X 7 UDS	2739.05
PEDIGREE DENTASTIX RAZAS PEQUEÑAS 10 BLS X 3 UDS	1412.07
PEDIGREE DENTASTIX RAZAS PEQUEÑAS 20 BLS X 1 UD	1118.52
PEDIGREE DENTASTIX RAZAS PEQUEÑAS 8 BLS X 7 UDS	2401.70
PEDIGREE RODEO CARNE X 4	1618.25
PEDIGREE RODEO POLLO X 4	1618.25
PEDIGREE ADULTO CPC X 1.5 KG	522.14
PEDIGREE ADULTO CPC X 21 KG	5576.25
PEDIGREE ADULTO CPC X 15 KG	4490.88
PEDIGREE ADULTO CPC X 3 KG	984.19
PEDIGREE ADULTO CPC X 8 KG	2464.27
PEDIGREE ADULTO CV X 8 KG	2464.27
PEDIGREE ADULTO CV X 1.5 KG	522.14
PEDIGREE ADULTO CV X 15 KG	4490.88
PEDIGREE ADULTO CV X 21 KG	5576.25
PEDIGREE ADULTO CV X 3 KG	984.19
PEDIGREE ADULTO RAZAS PEQUEÑAS X 1.5 KG	548.25
PEDIGREE ADULTO RAZAS PEQUEÑAS X 15 KG	4499.71
PEDIGREE ADULTO RAZAS PEQUEÑAS X 3 KG	1033.40
PEDIGREE ADULTO RAZAS PEQUEÑAS X 8 KG	2587.49
PEDIGREE BALANCE NATURAL X 1.5 KG	548.25
PEDIGREE BALANCE NATURAL X 15 KG	4499.71
PEDIGREE BALANCE NATURAL X 3 KG	1033.40
PEDIGREE BALANCE NATURAL X 7 KG	2264.04
PEDIGREE CACHORRO X 1.5 KG	548.25
PEDIGREE CACHORRO X 21 KG	6308.89
PEDIGREE CACHORRO X 3 KG	1033.40
PEDIGREE CACHORRO X 8 KG	2587.49
PEDIGREE LATA ADULTO CARNE X 340 GRS	285.10
PEDIGREE LATA ADULTO POLLO X 340 GRS	285.10
PEDIGREE LATA CACHORRO X 340 GRS	285.10
PEDIGREE POUCH CACHORRO 12 X 85 GRS	1060.44
PEDIGREE POUCH CARNE 12 X 100 GRS	1060.44
PEDIGREE POUCH POLLO 12 X 100 GRS	1060.44
PEDIGREE POUCH RAZ PEQ CARNE 12 X 100 GRS	1060.44
PEDIGREE POUCH RAZ PEQ POLLO 12 X 100 GRS	1060.44
PEDIGREE POUCH SENIOR 12 X 100 GRS	1060.44
PEDIGREE SENIOR CP X 1.5 KG	548.25
PEDIGREE SENIOR CP X 3 KG	1033.40
PEDIGREE SENIOR CP X 8 KG	2399.85
WHISKAS BUENO POR NAT SALMON X 10 KG	4657.68
WHISKAS BUENO POR NAT SALMON X 1 KG	615.72
WHISKAS BUENO POR NAT SALMON X 3 KG	1716.00
WHISKAS BUENO POR NAT SALMON X 500 GR	327.04
WHISKAS CARNE X 1 KG	549.75
WHISKAS CARNE X 10 KG	4158.64
WHISKAS CARNE X 3 KG	1532.14
WHISKAS CARNE X 500 GRS	292.00
WHISKAS CASTRADOS MIX CARNES X 1 KG	615.72
WHISKAS CASTRADOS MIX CARNES X 10 KG	4657.68
WHISKAS CASTRADOS MIX CARNES X 3 KG	1716.00
WHISKAS CASTRADOS MIX CARNES X 500 GR	327.04
WHISKAS GATITOS X 1 KG	549.75
WHISKAS GATITOS X 10 KG	4158.64
WHISKAS GATITOS X 500 GRS	292.00
WHISKAS LATA ATUN X 340 GRS	285.10
WHISKAS LATA CARNE X 340 GRS	285.10
WHISKAS LATA GATITO CARNE X 340 GRS	285.10
WHISKAS LATA POLLO X 340 GRS	285.10
WHISKAS PESCADO X 1 KG	549.75
WHISKAS PESCADO X 10 KG	4158.64
WHISKAS PESCADO X 3 KG	1532.14
WHISKAS PESCADO X 500 GRS	292.00
WHISKAS POLLO X 1 KG	549.75
